date,symbol,open,high,low,close,network,SMA_10,SMA_50,RSI,MACD,MACD_Signal,Log_Return,Volatility
2019-11-08,BTCUSDT,9214.0,9261.0,8696.0,8773.73,Bitcoin,9204.24,8614.845,52.126299046738794,181.28910878202805,178.75245018638535,-0.04920077557405485,0.04662955157139494
2019-11-09,BTCUSDT,8773.74,8880.0,8724.88,8809.41,Bitcoin,9169.708999999999,8587.6614,40.66256099672762,146.07511412309577,172.21698297372743,0.004058438819635005,0.04612348734071726
2019-11-10,BTCUSDT,8809.18,9147.19,8750.0,9039.47,Bitcoin,9159.571,8568.723,38.76277322091372,135.17349307552104,164.80828499408616,0.025780076014260956,0.04635866948133053
2019-11-11,BTCUSDT,9040.16,9072.32,8618.68,8733.27,Bitcoin,9109.737000000001,8542.811,39.09581228538024,100.66568749037833,151.9797654933446,-0.034460674202544596,0.04682454834746249
2019-11-12,BTCUSDT,8733.36,8888.0,8567.6,8821.94,Bitcoin,9062.979000000001,8525.2048,35.714425093907025,79.55586046509052,137.49498448769378,0.010101930316499606,0.04329851197345602
2019-11-13,BTCUSDT,8821.91,8844.99,8702.0,8777.12,Bitcoin,9021.22,8530.8844,39.74926974405754,58.534818089550754,121.70295120806519,-0.005093464866702945,0.043259609470670875
2019-11-14,BTCUSDT,8777.54,8800.0,8582.6,8646.68,Bitcoin,8946.553,8535.216999999999,37.383258697195146,30.99280690541491,103.56092234753514,-0.014972903375000525,0.026346425462944884
2019-11-15,BTCUSDT,8646.38,8790.0,8400.0,8471.73,Bitcoin,8862.86,8543.377,31.399014971261835,-4.895011622389575,81.8697355535502,-0.020440694136174855,0.021887246637955157
2019-11-16,BTCUSDT,8471.62,8543.0,8400.0,8491.02,Bitcoin,8778.056999999999,8549.6392,30.076947643665576,-31.417661333660362,59.21225617610809,0.0022743963467484214,0.020242982391042885
2019-11-17,BTCUSDT,8490.74,8635.0,8350.68,8502.4,Bitcoin,8706.677,8555.711000000001,31.976069105923912,-50.931672801652894,37.183470380555896,0.0013393421337381934,0.019106434224762294
2019-11-18,BTCUSDT,8502.87,8503.52,8060.0,8187.17,Bitcoin,8648.021,8558.578000000001,20.394969368520236,-90.78656300817966,11.589463702808786,-0.03778018177778056,0.019520488764438324
2019-11-19,BTCUSDT,8186.5,8218.63,8003.0,8133.64,Bitcoin,8580.444,8555.464,20.71177889888132,-125.24749906163379,-15.777928850079729,-0.00655974696730991,0.01892711904671982
2019-11-20,BTCUSDT,8133.83,8264.29,8038.4,8098.01,Bitcoin,8486.297999999999,8551.5754,19.146778042959426,-153.66176521107445,-43.354696122278675,-0.004390195356251671,0.01890287473774778
2019-11-21,BTCUSDT,8098.56,8134.73,7500.0,7627.74,Bitcoin,8375.744999999999,8536.9314,16.3264960018994,-211.68693937133503,-77.02114477208994,-0.059826750274931104,0.021984842461688678
2019-11-22,BTCUSDT,7627.79,7750.0,6790.0,7268.23,Bitcoin,8220.374,8517.8168,16.921684258632652,-283.41473178326123,-118.2998621743242,-0.04827880660424949,0.023266962424024373
2019-11-23,BTCUSDT,7268.23,7344.48,7080.01,7311.57,Bitcoin,8073.819,8501.3056,17.200392411050572,-332.92460068966284,-161.22480987739192,0.005945229379964158,0.023620082714783518
2019-11-24,BTCUSDT,7311.1,7330.39,6861.0,6903.28,Bitcoin,7899.479000000001,8476.8474,6.608844021043666,-400.4905139275588,-209.0779506874253,-0.05746136400961847,0.024417227799473747
2019-11-25,BTCUSDT,6900.23,7377.69,6515.0,7109.57,Bitcoin,7763.262999999999,8461.9538,15.623465049711214,-432.406593940982,-253.74367933813664,0.029445102813370486,0.026382377880324107
2019-11-26,BTCUSDT,7109.99,7340.0,7017.48,7156.14,Bitcoin,7629.775,8441.2748,14.09201824499688,-448.7693735077264,-292.7488181720546,0.006528965670785273,0.02650139322285521
2019-11-27,BTCUSDT,7154.75,7655.0,6840.0,7508.52,Bitcoin,7530.387,8428.0774,25.855506071333423,-428.3649486838631,-319.87204427441634,0.04806764632518055,0.02984488768601642
2019-11-28,BTCUSDT,7507.9,7643.0,7360.0,7419.49,Bitcoin,7453.619000000001,8405.2524,26.26958374747167,-414.5990323838687,-338.81744189630683,-0.011928054119097921,0.028413800933170526
2019-11-29,BTCUSDT,7418.52,7850.0,7362.3,7739.68,Bitcoin,7414.223,8388.885400000001,36.59705668032504,-373.54677280542455,-345.7633080781304,0.042250021414293196,0.03050063806541513
2019-11-30,BTCUSDT,7740.99,7810.0,7441.0,7541.89,Bitcoin,7358.611,8374.5532,33.68872940747845,-352.9044979470382,-347.191546051912,-0.025887529338627372,0.029805222823137096
2019-12-01,BTCUSDT,7540.63,7541.85,7210.0,7390.89,Bitcoin,7334.9259999999995,8356.369200000001,31.772847280300454,-344.75565584491596,-346.7043680105128,-0.02022465301285665,0.029332839484599832
2019-12-02,BTCUSDT,7391.5,7420.56,7151.1,7294.28,Bitcoin,7337.531,8336.7546,34.2269549149776,-342.1491766384679,-345.79332973610383,-0.013157681360598326,0.029022437275585223
2019-12-03,BTCUSDT,7294.42,7400.0,7241.35,7292.71,Bitcoin,7335.6449999999995,8315.644800000002,34.867031135840975,-336.3331695492179,-343.9012976987267,-0.0002152603115601392,0.029081924441899446
2019-12-04,BTCUSDT,7292.71,7750.0,7067.0,7194.32,Bitcoin,7364.748999999999,8296.3454,34.0968524195507,-335.79238713400264,-342.2795155857819,-0.01358339325753926,0.029069224404977202
2019-12-05,BTCUSDT,7194.59,7485.0,7150.0,7389.0,Bitcoin,7392.692,8284.2906,45.34735972311003,-316.0119748470506,-337.02600743803566,0.026700582009980097,0.030005447958579897
